Gameweek;Points;Total points;GW Rank;Overall Rank; Percentage placment
1;64;64;2543363;2543361;23
2;41;105;7403602;5302276;49
3;42;147;6783717;5710545;53
4;69;200;3260382;6145222;57
5;78;278;1659194;4717379;43
6;51;325;2828140;4550078;42
7;0;317;9565334;5034382;46
8;47;364;5916844;5191008;48
9;75;439;4516131;4801297;44
10;78;517;536195;3785951;35
11;56;569;1781420;3446356;32
12;31;600;8173875;3879496;36
13;52;652;5594193;3958946;36
14;69;721;2766525;3642791;34
15;47;768;7564949;3945921;36
