Gameweek;Points;Total points;GW Rank;Overall Rank; Percentage placment
1;40;40;6984450;6984445;64
2;58;98;4439260;6085516;56
3;39;137;7755051;6496529;60
4;67;204;3601866;5837641;54
5;77;281;1855227;4473736;41
6;36;317;8245804;5052822;46
7;0;317;6582907;5002749;46
8;71;388;532876;3616330;33
9;105;493;109338;1775970;16
10;67;560;3024876;1603775;15
11;53;613;2636148;1335592;12
12;69;682;61006;605621;6
13;73;751;355556;380365;3
14;77;828;1159900;232603;2
15;57;885;4116869;254140;2
