Gameweek;Points;Total points;GW Rank;Overall Rank; 
0;40;40;6984450;6984445;
0;58;98;4439260;6085516;
0;39;137;7755051;6496529;
0;67;204;3601866;5837641;
0;77;281;1855227;4473736;
0;36;317;8245804;5052822;
0;0;317;6582907;5002749;
0;71;388;532876;3616330;
0;105;493;109338;1775970;
0;67;560;3024876;1603775;
0;53;613;2636148;1335592;
0;69;682;61006;605621;
0;73;751;355556;380365;
0;77;828;1159900;232603;
0;57;885;4116869;254140;
